tagged text	entity type	term id
G.8	-25	CLDB:0005189
Cork	-25	BTO:0003378
Erebus	-2	NCBI:695565
Erebus	-2	NCBI:695565
islands	-27	ENVO:00000098
Terrestrial	-27	ENVO:00000446
colonial	-2	NCBI:360211
scale	-25	BTO:0005055
needle	-25	BTO:0000917
needle	-25	BTO:0000917
antipodal	-2	NCBI:81705
scale	-25	BTO:0005055
ocean	-27	ENVO:00000015
ocean	-27	ENVO:01000048
Parma	-2	NCBI:161911
Lachine	-2	NCBI:348718
Letters	-27	ENVO:02000081
Moose	-2	NCBI:999462
Ocean	-27	ENVO:00000015
Ocean	-27	ENVO:01000048
coast	-27	ENVO:00000303
paratus	-2	NCBI:1770661
shore	-27	ENVO:00000304
zeal	-2	NCBI:4575
zeal	-2	NCBI:4577
mountain chains	-27	ENVO:00000080
zeal	-2	NCBI:4575
zeal	-2	NCBI:4577
island	-27	ENVO:00000098
scale	-25	BTO:0005055
trough	-27	ENVO:00000499
ocean	-27	ENVO:00000015
ocean	-27	ENVO:01000048
pear	-2	NCBI:23211
elevation	-27	ENVO:00000176
elevation	-27	ENVO:00000176
ocean	-27	ENVO:00000015
ocean	-27	ENVO:01000048
ness	-27	ENVO:00000305
AoA	-2	NCBI:320291
ap ata	-2	NCBI:2078652
boa	-2	NCBI:8573
boa	-2	NCBI:8574
ait	-27	ENVO:00000423
vee	-2	NCBI:11036
scale	-25	BTO:0005055
elevation	-27	ENVO:00000176
summits	-27	ENVO:00000480
trough	-27	ENVO:00000499
trough	-27	ENVO:00000499
trough	-27	ENVO:00000499
crest	-27	ENVO:00000283
crest	-27	ENVO:00000283
pear	-2	NCBI:23211
to7	-2	NCBI:1007484
amaximum	-2	NCBI:252855
amaximum	-2	NCBI:647436
Parma	-2	NCBI:161911
crest	-27	ENVO:00000283
Parma	-2	NCBI:161911
trough	-27	ENVO:00000499
Parma	-2	NCBI:161911
Parma	-2	NCBI:161911
Parma	-2	NCBI:161911
Parma	-2	NCBI:161911
Parma	-2	NCBI:161911
Parma	-2	NCBI:161911
Parma	-2	NCBI:161911
Parma	-2	NCBI:161911
Parma	-2	NCBI:161911
Parma	-2	NCBI:161911
culm	-25	BTO:0001300
Parma	-2	NCBI:161911
Parma	-2	NCBI:161911
Parma	-2	NCBI:161911
divide	-27	ENVO:00000292
Channel	-27	ENVO:00000395
Channel	-27	ENVO:00000395
Parma	-2	NCBI:161911
Parma	-2	NCBI:161911
sunrise	-2	NCBI:1508110
deserts	-27	ENVO:00000097
deserts	-27	ENVO:01000179
Peninsula	-27	ENVO:00000305
scale	-25	BTO:0005055
mouth	-25	BTO:0001090
am I	-2	NCBI:1795681
WES	-25	CLDB:0004696
B.A	-2	NCBI:1582
C.E	-2	NCBI:1587
G.8	-25	CLDB:0005189
Sound	-27	ENVO:00000393
coast	-27	ENVO:00000303
Ranges	-27	ENVO:00000106
Ranges	-27	ENVO:00000264
Ranges	-27	ENVO:01000311
depressions	-27	ENVO:00000309
scale	-25	BTO:0005055
scale	-25	BTO:0005055
lete	-27	ENVO:00000544
Ranges	-27	ENVO:00000106
Ranges	-27	ENVO:00000264
Ranges	-27	ENVO:01000311
basin	-27	ENVO:00000291
depressions	-27	ENVO:00000309
CORK	-25	BTO:0003378
G.8	-25	CLDB:0005189
C. Lemon	-2	NCBI:171249
C. Lemon	-2	NCBI:2708
M. Jacobi	-2	NCBI:469911
elevation	-27	ENVO:00000176
coast	-27	ENVO:00000303
tropical	-2	NCBI:928838
tropical	-27	ENVO:01000204
ocean	-27	ENVO:00000015
ocean	-27	ENVO:01000048
oceanic	-27	ENVO:00000015
oceanic	-27	ENVO:00000207
oceanic	-27	ENVO:01000048
streams	-27	ENVO:00000023
Channel	-27	ENVO:00000395
ctl	-25	BTO:0000289
vee	-2	NCBI:11036
SLEO	-2	NCBI:56574
FS6	-25	CLDB:0001396
