AphiaID	url	scientificname	authority	status	unacceptreason	taxonRankID	rank	valid_AphiaID	valid_name	valid_authority	parentNameUsageID	kingdom	phylum	class	order	family	genus	citation	lsid	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct	match_type	modified	id	tool
542951	https://www.marinespecies.org/aphia.php?p=taxdetails&id=542951	Pinna squamosa	Gmelin, 1791	unaccepted	NA	220	Species	140780	Pinna nobilis	Linnaeus, 1758	138352	Animalia	Mollusca	Bivalvia	Ostreida	Pinnidae	Pinna	MolluscaBase eds. (2021). MolluscaBase. Pinna squamosa Gmelin, 1791. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=542951 on 2021-01-29	urn:lsid:marinespecies.org:taxname:542951	1	NA	NA	NA	NA	exact	2010-11-10T16:07:33.523Z	542951	aphia_id
541184	https://www.marinespecies.org/aphia.php?p=taxdetails&id=541184	Modiola tulipa	Lamarck, 1819	unaccepted	NA	220	Species	420705	Modiolus americanus	(Leach, 1815)	204762	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Modiola	MolluscaBase eds. (2021). MolluscaBase. Modiola tulipa Lamarck, 1819. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=541184 on 2021-01-29	urn:lsid:marinespecies.org:taxname:541184	1	NA	NA	NA	NA	exact	2010-11-10T16:07:33.523Z	541184	aphia_id
394239	https://www.marinespecies.org/aphia.php?p=taxdetails&id=394239	Pecten polymorphus	Bronn in Philippi, 1836	unaccepted	synonym	220	Species	225259	Flexopecten flexuosus	(Poli, 1795)	138323	Animalia	Mollusca	Bivalvia	Pectinida	Pectinidae	Pecten	MolluscaBase eds. (2021). MolluscaBase. Pecten polymorphus Bronn in Philippi, 1836. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=394239 on 2021-01-29	urn:lsid:marinespecies.org:taxname:394239	1	NA	NA	NA	NA	exact	2009-04-30T13:20:50.350Z	394239	aphia_id
236723	https://www.marinespecies.org/aphia.php?p=taxdetails&id=236723	Flexopecten hyalinus	(Poli, 1795)	accepted	NA	220	Species	236723	Flexopecten hyalinus	(Poli, 1795)	181536	Animalia	Mollusca	Bivalvia	Pectinida	Pectinidae	Flexopecten	MolluscaBase eds. (2021). MolluscaBase. Flexopecten hyalinus (Poli, 1795). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=236723 on 2021-01-29	urn:lsid:marinespecies.org:taxname:236723	1	NA	NA	NA	0	exact	2009-04-30T20:15:37.277Z	236723	aphia_id
537861	https://www.marinespecies.org/aphia.php?p=taxdetails&id=537861	Arca margaritacea	Bruguière, 1789	unaccepted	NA	220	Species	140590	Nucula nucleus	(Linnaeus, 1758)	137670	Animalia	Mollusca	Bivalvia	Arcida	Arcidae	Arca	MolluscaBase eds. (2021). MolluscaBase. Arca margaritacea Bruguière, 1789. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=537861 on 2021-01-29	urn:lsid:marinespecies.org:taxname:537861	1	NA	NA	NA	NA	exact	2010-11-10T16:07:33.523Z	537861	aphia_id
845555	https://www.marinespecies.org/aphia.php?p=taxdetails&id=845555	Cytherea chione	Lamarck, 1818	unaccepted	NA	220	Species	141906	Callista chione	(Linnaeus, 1758)	516182	Animalia	Mollusca	Bivalvia	Venerida	Veneridae	Cytherea	MolluscaBase eds. (2021). MolluscaBase. Cytherea chione Lamarck, 1818. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=845555 on 2021-01-29	urn:lsid:marinespecies.org:taxname:845555	1	0	0	0	NA	exact	2015-04-24T08:17:11.753Z	845555	aphia_id
539399	https://www.marinespecies.org/aphia.php?p=taxdetails&id=539399	Cytherea venetiana	Lamarck, 1818	unaccepted	NA	220	Species	141926	Pitar rudis	(Poli, 1795)	204301	Animalia	Mollusca	Bivalvia	Venerida	Veneridae	Cytherea	MolluscaBase eds. (2021). MolluscaBase. Cytherea venetiana Lamarck, 1818. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=539399 on 2021-01-29	urn:lsid:marinespecies.org:taxname:539399	1	NA	NA	NA	NA	exact	2010-11-10T16:07:33.523Z	539399	aphia_id
748356	https://www.marinespecies.org/aphia.php?p=taxdetails&id=748356	Cytherea apicalis	Philippi, 1836	unaccepted	synonym	220	Species	141916	Gouldia minima	(Montagu, 1803)	204301	Animalia	Mollusca	Bivalvia	Venerida	Veneridae	Cytherea	MolluscaBase eds. (2021). MolluscaBase. Cytherea apicalis Philippi, 1836. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=748356 on 2021-01-29	urn:lsid:marinespecies.org:taxname:748356	1	NA	NA	NA	NA	exact	2014-01-30T12:11:24.390Z	748356	aphia_id
538091	https://www.marinespecies.org/aphia.php?p=taxdetails&id=538091	Artemis lirata	G. B. Sowerby II, 1852	unaccepted	NA	220	Species	216568	Dosinia histrio	(Gmelin, 1791)	520716	Animalia	Mollusca	Bivalvia	Venerida	Veneridae	Artemis	MolluscaBase eds. (2021). MolluscaBase. Artemis lirata G. B. Sowerby II, 1852. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=538091 on 2021-01-29	urn:lsid:marinespecies.org:taxname:538091	1	NA	NA	NA	NA	exact	2010-11-10T16:07:33.523Z	538091	aphia_id
246150	https://www.marinespecies.org/aphia.php?p=taxdetails&id=246150	Polititapes aureus	(Gmelin, 1791)	accepted	NA	220	Species	246150	Polititapes aureus	(Gmelin, 1791)	246149	Animalia	Mollusca	Bivalvia	Venerida	Veneridae	Polititapes	MolluscaBase eds. (2021). MolluscaBase. Polititapes aureus (Gmelin, 1791). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=246150 on 2021-01-29	urn:lsid:marinespecies.org:taxname:246150	1	NA	NA	NA	NA	exact	2012-01-29T07:15:07.190Z	246150	aphia_id
