AphiaID	url	scientificname	authority	status	unacceptreason	taxonRankID	rank	valid_AphiaID	valid_name	valid_authority	parentNameUsageID	kingdom	phylum	class	order	family	genus	citation	lsid	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct	match_type	modified	id	tool
1803	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1803	Brachiopoda	Duméril, 1805	accepted	NA	30	Phylum	1803	Brachiopoda	Duméril, 1805	2	Animalia	Brachiopoda	NA	NA	NA	NA	WoRMS (2021). Brachiopoda. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1803 on 2021-01-19	urn:lsid:marinespecies.org:taxname:1803	1	NA	NA	NA	NA	exact	2016-02-02T06:29:01.230Z	7568	EXTRACT
138323	http://www.marinespecies.org/aphia.php?p=taxdetails&id=138323	Pecten	O. F. Müller, 1776	accepted	NA	180	Genus	138323	Pecten	O. F. Müller, 1776	393858	Animalia	Mollusca	Bivalvia	Pectinida	Pectinidae	Pecten	MolluscaBase eds. (2021). MolluscaBase. Pecten O. F. Müller, 1776. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138323 on 2021-01-19	urn:lsid:marinespecies.org:taxname:138323	1	0	0	0	0	exact	2019-11-15T16:45:32.920Z	6578	EXTRACT
204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	704607	EXTRACT
204762	http://www.marinespecies.org/aphia.php?p=taxdetails&id=204762	Modiola	Lamarck, 1801	unaccepted	an incorrect subsequent spelling of Modiolus Lamarck, 1799	180	Genus	138223	Modiolus	Lamarck, 1799	211	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Modiola	MolluscaBase eds. (2021). MolluscaBase. Modiola Lamarck, 1801. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=204762 on 2021-01-19	urn:lsid:marinespecies.org:taxname:204762	1	0	0	0	0	exact	2020-08-16T08:48:01.310Z	217318	EXTRACT
204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	13305	EXTRACT
204762	http://www.marinespecies.org/aphia.php?p=taxdetails&id=204762	Modiola	Lamarck, 1801	unaccepted	an incorrect subsequent spelling of Modiolus Lamarck, 1799	180	Genus	138223	Modiolus	Lamarck, 1799	211	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Modiola	MolluscaBase eds. (2021). MolluscaBase. Modiola Lamarck, 1801. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=204762 on 2021-01-19	urn:lsid:marinespecies.org:taxname:204762	1	0	0	0	0	exact	2020-08-16T08:48:01.310Z	217318	EXTRACT
138323	http://www.marinespecies.org/aphia.php?p=taxdetails&id=138323	Pecten	O. F. Müller, 1776	accepted	NA	180	Genus	138323	Pecten	O. F. Müller, 1776	393858	Animalia	Mollusca	Bivalvia	Pectinida	Pectinidae	Pecten	MolluscaBase eds. (2021). MolluscaBase. Pecten O. F. Müller, 1776. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138323 on 2021-01-19	urn:lsid:marinespecies.org:taxname:138323	1	0	0	0	0	exact	2019-11-15T16:45:32.920Z	6578	EXTRACT
20391	http://www.marinespecies.org/aphia.php?p=taxdetails&id=20391	Polymorphus	Lühe, 1911	accepted	NA	180	Genus	20391	Polymorphus	Lühe, 1911	20307	Animalia	Acanthocephala	Palaeacanthocephala	Polymorphida	Polymorphidae	Polymorphus	Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Polymorphus Lühe, 1911. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=20391 on 2021-01-19	urn:lsid:marinespecies.org:taxname:20391	1	1	1	1	NA	exact	2020-05-14T14:50:34.410Z	60540	EXTRACT
204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	165598	EXTRACT
141650	http://www.marinespecies.org/aphia.php?p=taxdetails&id=141650	Thracia pubescens	(Pulteney, 1799)	accepted	NA	220	Species	141650	Thracia pubescens	(Pulteney, 1799)	138549	Animalia	Mollusca	Bivalvia	NA	Thraciidae	Thracia	MolluscaBase eds. (2021). MolluscaBase. Thracia pubescens (Pulteney, 1799). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=141650 on 2021-01-19	urn:lsid:marinespecies.org:taxname:141650	1	NA	NA	NA	NA	exact	2004-12-21T15:54:05Z	228491	EXTRACT
