Conchifera
Brachiopoda
Pinna squamosa
Pecten sulcatus
Modiola tulipa
Pecten polymorphus
Modiola barbata
Solen tenuis
Nncula margaritacea
Cytherea chione
Thracia pubescens
Ligula boysii
Pandora obtusa
Artemis lincta
Tellina donacina
Pullastra virginea
Corbula nucleus
Venus verrucosa
Cardium echinatum
Artemis lincta
Montacuta
Ligula boysii
Nucula margaritacea
Lucina lactea
Turritella terebra
Cardium rusticum
Parthenia
Cardita sulcata
Patella scutellaris
Calyptrea sinense
Rissoa monodonta
Bulla hydatis
Ringuicula auriculata
Turritella
Cerithium
Cerithium lima
Buccinum variabile
Murex fistulosus
Aplysia depilans
Murex brandaris
Ostrea plicatula
Natica pulchella
Ophiura albida
Holothuria tubulosa
Caryophyllia cyathus
Crustacea
Cucumaria pentactes
Plants��zostera oceanica
Caulerpa prolifera
Serpula
Dictyomenia volubilis
Acetabularia
Crustacea
Hiatella arctica
Natica
Chiton leevis
Trochus creuulatus
Modiola tulipa
Pecten polymorphus
Cerithium vulgatum
Cardium exiguum
Columbella rustica
Nucula margaritacea
Fusus lignarius
Ligula boysii
Lucina transversa
Pleurotoma
Eipsos pulchella
Cerithium
Asterias
Ophioderma lacertosa
Nerita viridis
Natica millepunctata
Parthenia
Striatula
Ophioderma lacertosa
Crustacea
Avicula tarentina
Hiatella arctica
Modiola tulipa
Anomia ephippium
Pecten polymorphus
Cytherea apicalis
Cardium exiguum
Cardita trapezia
Nucula emarginata
Arca lactea
Tetrazona
Ligula boysii
Lucina spinifera
Pandora obtusa
Astarte pusilla
Ophiura texturata
Comatula mediterranea
Cardita
Cardium papi
Fusus
Nucula
Trochus exiguus
Turbo rugosus
Ven echinatum
Echinocyamus
Cytherea venetiana
Crustacea
Codium tor
Tellina donacina
Thracia pubescens
Corbula nucleus
Bolen coarctatus
Pusio
Cerithium
Conus mediterrancus
Misa
Trochus
Arca
S�ioy precebratula truncata
Bulla hydatis
Crania ringens
Bulimus acutus
Fusus lavatus
Pleurotoma miro
Columbella
Cerithium lima
Triforis adversum
Mitra obsoleta
Murex cristatus
Troclus fanulum
Turbo sangniueus
Turritella
Natica valencieusii
Cyprzea europea
Emarginula
Chiton rissoi
Asterina
Echinus monilis
Cidaris histrix
Echinocyamus
Myriapora truncata
Naxia
Terebratula truncata
Pecten varius
Lima elongata
Modiola
Hiatella arctica
M. barbata
Cardita aculeata
Astarte incrassata
Cytherea apicalis
Venus ovata
Arca tetragona
Murex cristatus
Pleurotoma
Cerithium lima
Trochus exiguus
Phasianella pulla
Rissoa reticulata
Turbo rugosus
Natica
Tornatella fasciata
Emarginula elongata
Cleodora pyramidata
Radiata��echinus monilis
Echinocyamus pusillus
Cidaris
Terebratula truncata
Lima elongata
Modiola
Pecten teste
Cardita squamosa
Cytherea apicalis
Venns ovata
Astarte pusilla
Lucina commutata
Arca lactea
Pleurotoma crispata
Fusus muricatus
Triforis perversum
Turritella
Trochus exiguus
Turbo sanguineus
Rissoa reticulata
Marginella
Tornatella pusilla
Fissurella greca
Echinocyamus
Echinus monilis
Caryophyllia
Crustacea
Lima crassa
Nucula polii
Area lactea
Nezra costellata
Hiatella
Pandora obtusa
Terebratula vitrea
Russa
Crania ringens
Lima elongata
Parthenia veutricosa
Spondylus gussonii
Ladas planorboides
Arca lactea rio
Limacina minuta
Hyalea gibbosa
Cleodora pyramidata
Criseis
Pleurotoma crispata
Annelides��ditrapa subulata
Annelides��ditrupa subulata
Cidaris
Cerithium lima
Trochus tinei
Turbo sanguineus
Rissoa reticulata
Emargiuula elongata
Atlanta peronii
Hyalea gibbosa
Anomia polymorpha
Lima elongata
Criseis clava
Pecten similis
Pectinura vestita
Echinocyamus
Cidaris
Nucula polii
Arca tetragona
Serpula
Balanus
Foraminifera
Cardium minimum
Kellia abyssicola
Neera costellata
Cerigo
Murex vaginatus
Cerithium lima
Parthenia yentricosa
Eulima subulata
Bulla utriculus
Lima elongata
Carinaria
Atlanta peronii
Limacina
Hyalea gibbosa
Criseis clava
Serpula
Idmonea
Ophiura abyssicola
Brissus
Ditrupa pusilla
Crustacea
Pecten similis
Lima elongata
Arca lactea
Poromya anatinoides
Kellia abyssicola
Negra cuspidata
Cardita squamosa
Ligula profundissima
Crania ringens
Terebratula
Murex vaginatus
Marginella
Rissoa reticulata
Parthenia ventricosa
Cerithium lima
Lottia unicolor
Scissurella plicata
Peracle physoides
Hyalea gibbosa
Cleodora pyramidata
Criseis
Pecten concentricus
Arca imbricata
Nucula striata
Kellia abyssicola
Nezra cuspidata
Ligula profundissima
Nassa intermedia
Medi-�rissoa reticulata
Marginella
Cleodora pyramidata
Criseis
Limacina minuta
Carinaria
Peracle physoides�nea
Foraminifera
Amphiura
Terebratula vitrea
Hyalea gibbosa
Cleodora pyramidata
Serpula
Terebratula
Lobatula
