AphiaID	url	scientificname	authority	status	unacceptreason	taxonRankID	rank	valid_AphiaID	valid_name	valid_authority	parentNameUsageID	kingdom	phylum	class	order	family	genus	citation	lsid	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct	match_type	modified	id	tool
112135	https://www.marinespecies.org/aphia.php?p=taxdetails&id=112135	Lobatula	Fleming, 1828	unaccepted	According to DNA work of Schweizer et al. 2009	180	Genus	112084	Cibicidoides	Thalmann, 1939	721028	Chromista	Foraminifera	Globothalamea	Rotaliida	Cibicididae	Lobatula	Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2021). World Foraminifera Database. Lobatula Fleming, 1828. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=112135 on 2021-01-19	urn:lsid:marinespecies.org:taxname:112135	1	NA	NA	NA	0	like	2018-10-04T11:36:03.340Z	Lobatula	gnfinder
521876	https://www.marinespecies.org/aphia.php?p=taxdetails&id=521876	Lobatula alta	Saidova, 1975	accepted	NA	220	Species	521876	Lobatula alta	Saidova, 1975	112135	Chromista	Foraminifera	Globothalamea	Rotaliida	Cibicididae	Lobatula	Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2021). World Foraminifera Database. Lobatula alta Saidova, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=521876 on 2021-01-19	urn:lsid:marinespecies.org:taxname:521876	1	NA	NA	NA	NA	like	2010-09-17T12:41:19.997Z	Lobatula	gnfinder
521877	https://www.marinespecies.org/aphia.php?p=taxdetails&id=521877	Lobatula antarctica	Saidova, 1975	unaccepted	According to DNA work of Schweizer et al. 2012	220	Species	988324	Cibicides antarcticus	(Saidova, 1975)	112135	Chromista	Foraminifera	Globothalamea	Rotaliida	Cibicididae	Lobatula	Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2021). World Foraminifera Database. Lobatula antarctica Saidova, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=521877 on 2021-01-19	urn:lsid:marinespecies.org:taxname:521877	1	NA	NA	NA	0	like	2017-04-07T07:14:48.960Z	Lobatula	gnfinder
1467946	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1467946	Lobatula carinata	(Terquem, 1882)	unaccepted	NA	220	Species	992921	Cibicides carinatus	(Terquem, 1882)	112135	Chromista	Foraminifera	Globothalamea	Rotaliida	Cibicididae	Lobatula	Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2021). World Foraminifera Database. Lobatula carinata (Terquem, 1882)&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1467946 on 2021-01-19	urn:lsid:marinespecies.org:taxname:1467946	1	NA	NA	NA	1	like	2020-11-19T16:17:00.367Z	Lobatula	gnfinder
113118	https://www.marinespecies.org/aphia.php?p=taxdetails&id=113118	Lobatula lobatula	(Walker & Jacob, 1798)	unaccepted	According to DNA work of Schweizer et al. 2009	220	Species	988323	Cibicidoides lobatulus	(Walker & Jacob, 1798)	112135	Chromista	Foraminifera	Globothalamea	Rotaliida	Cibicididae	Lobatula	Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2021). World Foraminifera Database. Lobatula lobatula (Walker & Jacob, 1798). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=113118 on 2021-01-19	urn:lsid:marinespecies.org:taxname:113118	1	NA	NA	NA	0	like	2017-05-24T13:29:42.113Z	Lobatula	gnfinder
723225	https://www.marinespecies.org/aphia.php?p=taxdetails&id=723225	Lobatula mayori	(Cushman, 1924)	accepted	NA	220	Species	723225	Lobatula mayori	(Cushman, 1924)	112135	Chromista	Foraminifera	Globothalamea	Rotaliida	Cibicididae	Lobatula	Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2021). World Foraminifera Database. Lobatula mayori (Cushman, 1924). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=723225 on 2021-01-19	urn:lsid:marinespecies.org:taxname:723225	1	NA	NA	NA	NA	like	2013-03-19T07:16:54.837Z	Lobatula	gnfinder
521878	https://www.marinespecies.org/aphia.php?p=taxdetails&id=521878	Lobatula microformis	Saidova, 1975	accepted	NA	220	Species	521878	Lobatula microformis	Saidova, 1975	112135	Chromista	Foraminifera	Globothalamea	Rotaliida	Cibicididae	Lobatula	Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2021). World Foraminifera Database. Lobatula microformis Saidova, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=521878 on 2021-01-19	urn:lsid:marinespecies.org:taxname:521878	1	NA	NA	NA	NA	like	2010-09-17T12:41:19.997Z	Lobatula	gnfinder
521879	https://www.marinespecies.org/aphia.php?p=taxdetails&id=521879	Lobatula novazealandica	Saidova, 1975	accepted	NA	220	Species	521879	Lobatula novazealandica	Saidova, 1975	112135	Chromista	Foraminifera	Globothalamea	Rotaliida	Cibicididae	Lobatula	Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2021). World Foraminifera Database. Lobatula novazealandica Saidova, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=521879 on 2021-01-19	urn:lsid:marinespecies.org:taxname:521879	1	NA	NA	NA	NA	like	2010-09-17T12:41:19.997Z	Lobatula	gnfinder
521880	https://www.marinespecies.org/aphia.php?p=taxdetails&id=521880	Lobatula passiva	Saidova, 1975	accepted	NA	220	Species	521880	Lobatula passiva	Saidova, 1975	112135	Chromista	Foraminifera	Globothalamea	Rotaliida	Cibicididae	Lobatula	Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2021). World Foraminifera Database. Lobatula passiva Saidova, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=521880 on 2021-01-19	urn:lsid:marinespecies.org:taxname:521880	1	NA	NA	NA	NA	like	2010-09-17T12:41:19.997Z	Lobatula	gnfinder
1053322	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1053322	Lobatula quadrilobata	Sztrákos, 2000	accepted	NA	220	Species	1053322	Lobatula quadrilobata	Sztrákos, 2000	112135	Chromista	Foraminifera	Globothalamea	Rotaliida	Cibicididae	Lobatula	Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2021). World Foraminifera Database. Lobatula quadrilobata Sztrákos, 2000&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1053322 on 2021-01-19	urn:lsid:marinespecies.org:taxname:1053322	1	NA	NA	NA	1	like	2018-01-02T12:19:20.147Z	Lobatula	gnfinder
521881	https://www.marinespecies.org/aphia.php?p=taxdetails&id=521881	Lobatula vitijazi	Saidova, 1975	accepted	NA	220	Species	521881	Lobatula vitijazi	Saidova, 1975	112135	Chromista	Foraminifera	Globothalamea	Rotaliida	Cibicididae	Lobatula	Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2021). World Foraminifera Database. Lobatula vitijazi Saidova, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=521881 on 2021-01-19	urn:lsid:marinespecies.org:taxname:521881	1	NA	NA	NA	NA	like	2010-09-17T12:41:19.997Z	Lobatula	gnfinder
