tagged_text	entity_type	term_id
Brachiopoda	-2	NCBI:7568
shore	-27	ENVO:00000304
shore	-27	ENVO:00000304
Ground	-27	ENVO:00001998
Mud	-27	ENVO:01000001
sandy	-27	ENVO:01000017
Pecten	-2	NCBI:6578
squamosa	-2	NCBI:704607
Modiola	-2	NCBI:217318
tulipa	-2	NCBI:13305
Modiola	-2	NCBI:217318
Pecten	-2	NCBI:6578
polymorphus	-2	NCBI:60540
Solen	-2	NCBI:165598
fossil	-27	ENVO:00002164
Thracia pubescens	-2	NCBI:228491
chione	-2	NCBI:128406
chione	-2	NCBI:98292
Ligula	-2	NCBI:94844
Pandora	-2	NCBI:120446
Pandora	-2	NCBI:76016
Tellina	-2	NCBI:59234
Corbula	-2	NCBI:52624
Cardium echinatum	-2	NCBI:241154
Venus verrucosa	-2	NCBI:55715
Tellina	-2	NCBI:59234
Ligula	-2	NCBI:94844
Nucula	-2	NCBI:47128
emarginata	-2	NCBI:1056867
emarginata	-2	NCBI:1093978
emarginata	-2	NCBI:1387110
emarginata	-2	NCBI:1706460
emarginata	-2	NCBI:1743195
emarginata	-2	NCBI:183836
emarginata	-2	NCBI:1914875
emarginata	-2	NCBI:2591573
emarginata	-2	NCBI:2611583
emarginata	-2	NCBI:28955
emarginata	-2	NCBI:446436
emarginata	-2	NCBI:507821
emarginata	-2	NCBI:521148
emarginata	-2	NCBI:640493
emarginata	-2	NCBI:931510
emarginata	-2	NCBI:93363
emarginata	-2	NCBI:979698
squamosa	-2	NCBI:704607
Turritella terebra	-2	NCBI:13744
Cardium	-2	NCBI:268263
Parthenia	-2	NCBI:35934
Cardita	-2	NCBI:52615
i Ps	-2	NCBI:55979
Rissoa monodonta	-2	NCBI:1746134
Turritella	-2	NCBI:13736
Cerithium	-2	NCBI:145869
Cerithium	-2	NCBI:145869
lima	-2	NCBI:102304
lima	-2	NCBI:178984
Buccinum	-2	NCBI:37540
Murex	-2	NCBI:57630
fossil	-27	ENVO:00002164
Aplysia depilans	-2	NCBI:76186
Murex brandaris	-2	NCBI:181909
Ostrea plicatula	-2	NCBI:74437
Ophiura albida	-2	NCBI:72672
Caryophyllia	-2	NCBI:130052
Sponges	-2	NCBI:6040
cyathus	-2	NCBI:68776
Crustacea	-2	NCBI:6657
Cucumaria	-2	NCBI:28832
Caulerpa prolifera	-2	NCBI:76314
Plants	-2	NCBI:3193
Plants	-25	BTO:0001481
Serpula	-2	NCBI:249367
Serpula	-2	NCBI:29521
Serpula	-2	NCBI:80744
Acetabularia	-2	NCBI:3136
Crustacea	-2	NCBI:6657
Dictyomenia	-2	NCBI:1917024
shore	-27	ENVO:00000304
Hiatella arctica	-2	NCBI:120431
Natica	-2	NCBI:208832
Chiton	-2	NCBI:256107
Trochus	-2	NCBI:315782
Modiola	-2	NCBI:217318
tulipa	-2	NCBI:13305
Cerithium vulgatum	-2	NCBI:164662
Pecten	-2	NCBI:6578
polymorphus	-2	NCBI:60540
trapezia	-2	NCBI:457866
trapezia	-2	NCBI:84664
Cardium	-2	NCBI:268263
Columbella rustica	-2	NCBI:1981004
Nucula	-2	NCBI:47128
Ligula	-2	NCBI:94844
Pleurobranchus	-2	NCBI:157720
fossil	-27	ENVO:00002164
Asterias	-2	NCBI:7601
Cerithium	-2	NCBI:145869
Ophioderma	-2	NCBI:1975590
Ophioderma	-2	NCBI:72726
Nerita	-2	NCBI:52927
sponges	-2	NCBI:6040
Natica	-2	NCBI:208832
Parthenia	-2	NCBI:35934
Smyrna	-2	NCBI:311131
shore	-27	ENVO:00000304
Ground	-27	ENVO:00001998
Ophioderma	-2	NCBI:1975590
Ophioderma	-2	NCBI:72726
Crustacea	-2	NCBI:6657
Hiatella arctica	-2	NCBI:120431
shore	-27	ENVO:00000304
Ground	-27	ENVO:00001998
Modiola	-2	NCBI:217318
tulipa	-2	NCBI:13305
Anomia ephippium	-2	NCBI:102291
Pecten	-2	NCBI:6578
polymorphus	-2	NCBI:60540
Cardium	-2	NCBI:268263
Cardita	-2	NCBI:52615
trapezia	-2	NCBI:457866
trapezia	-2	NCBI:84664
Nucula	-2	NCBI:47128
emarginata	-2	NCBI:1056867
emarginata	-2	NCBI:1093978
emarginata	-2	NCBI:1387110
emarginata	-2	NCBI:1706460
emarginata	-2	NCBI:1743195
emarginata	-2	NCBI:183836
emarginata	-2	NCBI:1914875
emarginata	-2	NCBI:2591573
emarginata	-2	NCBI:2611583
emarginata	-2	NCBI:28955
emarginata	-2	NCBI:446436
emarginata	-2	NCBI:507821
emarginata	-2	NCBI:521148
emarginata	-2	NCBI:640493
emarginata	-2	NCBI:931510
emarginata	-2	NCBI:93363
emarginata	-2	NCBI:979698
Ligula	-2	NCBI:94844
sponges	-2	NCBI:6040
Smyrna	-2	NCBI:311131
shore	-27	ENVO:00000304
Ground	-27	ENVO:00001998
Pandora	-2	NCBI:120446
Pandora	-2	NCBI:76016
Astarte	-2	NCBI:98290
Comatula	-2	NCBI:1320698
Ophiura texturata	-2	NCBI:72673
mediterranea	-2	NCBI:1926659
shore	-27	ENVO:00000304
Ground	-27	ENVO:00001998
shore	-27	ENVO:00000304
Cardita	-2	NCBI:52615
Pecten	-2	NCBI:6578
Cardium	-2	NCBI:268263
papi	-2	NCBI:1785716
polymorphus	-2	NCBI:60540
Sus	-2	NCBI:9822
Nucula	-2	NCBI:47128
Trochus	-2	NCBI:315782
rugosus	-2	NCBI:1799495
gracilis	-25	BTO:0000536
Echinocyamus	-2	NCBI:337425
Crustacea	-2	NCBI:6657
Codium	-2	NCBI:3132
tor t i	-2	NCBI:1684138
Tellina	-2	NCBI:59234
Thracia pubescens	-2	NCBI:228491
ape	-2	NCBI:314295
ape	-2	NCBI:4456
geese	-2	NCBI:8842
Bees	-2	NCBI:34735
Corbula	-2	NCBI:52624
shore	-27	ENVO:00000304
Ground	-27	ENVO:00001998
felis	-2	NCBI:9682
Aporrhaispes-pelecani	-2	NCBI:387443
Cerithium	-2	NCBI:145869
ae 1	-25	CLDB:0005132
cimex	-2	NCBI:30079
Trochus	-2	NCBI:315782
e Arca	-2	NCBI:301908
etruncata	-2	NCBI:1085721
etruncata	-2	NCBI:1125909
etruncata	-2	NCBI:160902
etruncata	-2	NCBI:2026881
etruncata	-2	NCBI:208291
etruncata	-2	NCBI:2662394
etruncata	-2	NCBI:516795
etruncata	-2	NCBI:543858
Crania	-2	NCBI:317944
Crania	-25	BTO:0001295
ringens	-2	NCBI:1291387
ringens	-2	NCBI:1417422
rat	-2	NCBI:10116
Columbella	-2	NCBI:1665551
Cerithium	-2	NCBI:145869
lima	-2	NCBI:102304
lima	-2	NCBI:178984
lima	-2	NCBI:102304
lima	-2	NCBI:178984
Murex	-2	NCBI:57630
Turritella	-2	NCBI:13736
Natica	-2	NCBI:208832
Emarginula	-2	NCBI:225312
Lottia	-2	NCBI:72691
Chiton	-2	NCBI:256107
Asterina	-2	NCBI:7593
Asterina	-2	NCBI:859380
Cidaris	-2	NCBI:72718
Echinus	-2	NCBI:7647
Echinocyamus	-2	NCBI:337425
Myriapora truncata	-2	NCBI:475381
Naxia	-2	NCBI:399042
coast	-27	ENVO:00000303
shore	-27	ENVO:00000304
Ground	-27	ENVO:00001998
Pecten	-2	NCBI:6578
Modiola	-2	NCBI:217318
Hiatella arctica	-2	NCBI:120431
M. barbata	-2	NCBI:1072074
