Pinna squamosa	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_1	MED-AegeanMolluscaAndRadiata_1
Modiola tulipa	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_2	MED-AegeanMolluscaAndRadiata_2
Pecten polymorphus	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_3	MED-AegeanMolluscaAndRadiata_3
Flexopecten hyalinus	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_4	MED-AegeanMolluscaAndRadiata_4
Arca margaritacea	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_5	MED-AegeanMolluscaAndRadiata_5
Cytherea chione	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_6	MED-AegeanMolluscaAndRadiata_6
Cytherea venetiana	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_7	MED-AegeanMolluscaAndRadiata_7
Cytherea apicalis	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_8	MED-AegeanMolluscaAndRadiata_8
Artemis lirata	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_9	MED-AegeanMolluscaAndRadiata_9
Polititapes aureus	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_10	MED-AegeanMolluscaAndRadiata_10
Venus verrucosa	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_11	MED-AegeanMolluscaAndRadiata_11
Tellina donacina	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_12	MED-AegeanMolluscaAndRadiata_12
Tellina balaustina	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_13	MED-AegeanMolluscaAndRadiata_13
Erycina renierii	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_14	MED-AegeanMolluscaAndRadiata_14
Lucina lactea	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_15	MED-AegeanMolluscaAndRadiata_15
Lucina squamosa	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_16	MED-AegeanMolluscaAndRadiata_16
Diplodonta rotundata	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_17	MED-AegeanMolluscaAndRadiata_17
Cardium rusticum	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_18	MED-AegeanMolluscaAndRadiata_18
Cardium exiguum	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_19	MED-AegeanMolluscaAndRadiata_19
Cardita sulcata	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_20	MED-AegeanMolluscaAndRadiata_20
Patella caerulea	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_21	MED-AegeanMolluscaAndRadiata_21
Calyptraea sinensis	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_22	MED-AegeanMolluscaAndRadiata_22
Bulla hydatis	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_23	MED-AegeanMolluscaAndRadiata_23
Turritella triplicata	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_24	MED-AegeanMolluscaAndRadiata_24
Trochus canaliculatus	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_25	MED-AegeanMolluscaAndRadiata_25
Cerithium lima	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_26	MED-AegeanMolluscaAndRadiata_26
Cerithium vulgatum	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_27	MED-AegeanMolluscaAndRadiata_27
Murex fistulatus	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_28	MED-AegeanMolluscaAndRadiata_28
Aplysia depilans	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_29	MED-AegeanMolluscaAndRadiata_29
Ostraea plicata	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_30	MED-AegeanMolluscaAndRadiata_30
Asterias	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_31	MED-AegeanMolluscaAndRadiata_31
Ophiura albida	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_32	MED-AegeanMolluscaAndRadiata_32
Holothuria tubulosa	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_33	MED-AegeanMolluscaAndRadiata_33
Caryophyllia cyathus	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_34	MED-AegeanMolluscaAndRadiata_34
Spongia	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_35	MED-AegeanMolluscaAndRadiata_35
Crustacea	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_36	MED-AegeanMolluscaAndRadiata_36
Gobius	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_37	MED-AegeanMolluscaAndRadiata_37
Zostera oceanica	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_38	MED-AegeanMolluscaAndRadiata_38
Caulerpa prolifera	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_39	MED-AegeanMolluscaAndRadiata_39
Dictyomenia volubilis	Naousa Bay_1841-05-29_9.14-10.97	MED-AegeanMolluscaAndRadiata_40	MED-AegeanMolluscaAndRadiata_40
