Allmaniella
Amphicters gunneri
Amphinomida
Annelida
Aphrodite talpa
Aphrogenia alba
Benthoscolex caecus
Brada villosa
Branchiomma mushaensis
Buratella puncturata
Buthalanessa djiboutiensis
C. fusca
C. violacea
Ceratonereis mirabilis
Ch. debile
Ch. occidentale
Chetozone setosa
Chiaje
Chlaia tumida
Chloeia tumida
Chrysopetalum occidentale
Cirratulus
Clymene
Clymene gracilis
Clymenella
Dasybranchus caducus
Dasychone cingulata
Demonax leucaspis
Demonazx leucaspis
Diopatra neapolitana
Ditrupa arietina
Drilonereis
E. antennata
E. australis
E. investigatoris
E. tentaculata
E. validobranchiata
Ehlersia
Eulaha tenax
Eunice indica
Eunice validobranchiata
Eunoé pallida
Euphrosyne foliosa
Euratella puncturata
Eurythoé complanata
Flabelligera
Flabelligera diplochaitos
G. eximia
G. longicirrata
Glycera
Glycera rouxii
Gomada eximia
Goniada eximia
Goniada multidentata
H. arabica
H. homoceros
H. lunulata
Haplosyllis
Harmothoé cornuta
Hermione hystrix
Hesione intertexta
Hh. homoceros
Hololepidella commensalis
Hyalinecia tubicola
Hydroides exaltata
Hydroides exaltata var. vesiculosa
Hz. lunulata
Ilyphagus
Ilyphagus hirsutus
Johnstonella
L. brevis
L. heteropoda
L. quasibifilaris
Latmatonice producta
Leanira vulturis
Leanwra vulturis
Leonnates
Loimia medusa
Lopadorhynchus
Lopadorhynchus brevis
Lopadorhynchus uncinatus
Lumbrinereis
Lumbrinereis latreilli
Lysidice collaris
M. sarsi
Magelona
Maldane
Maldane cristata
Marphysa simplex
N. grimaldii
N. inermis
N. longilingulis
N. zonata
Nectocheta caroli
Nephthys dibranchis
Nephthys inermis
Nereis
Nereis jackson
Nicolea gracilibranchis
Nicomache
Notomastus latericeus
Notophyllum splendens
Notoproctus pacificus
Notopygos
O. aucklandensis
O. eremita
Onuphis
Onuphis furcatoseta
Owenia fusiformis
P. ambigua
P. melanonotus
P. robustiseta
P. typha
Panthalis
Parasphzrosyllis indica
Petaloproctus
Petaloproctus cirratus
Phyllodoce madeirensis
Pista herpini
Placostegus tridentatus
Placostequs tridentatus
Platynereis pulchella
Polycheta
Polymnia nebulosa
Polyodontes
Polyodontes melanonotus
Prionospio pinnata
Pseudeurythoé acarunculata
Pseudeurythoé ambigua
Pseudewrythoé ambigua
R. diversosetosum
Rhamphobrachium
Rhamphobrachium bipes
Rhynchonerella fulgens
S. cornuta
S. curticirris
S. giganteus var. arabica
S. gracilis
S. hamocarens
S. krohnii
S. maldivensis
S. spinulosa
S. spongicola
Sabellaria spinulosa
Serpula vermicularis
Sigalion
Spirobranchus giganteus
Stylarioides
Stylarioides xanthotrichus
Syllis
Syllis variegata
T. cavallii
T. duccii
T. planktonis
Thelepus comatus
Tomopteris
Tomopteris dunckeri
Trypanosyllis zebra
V. acanthophora
V. multicristata
Vanadis formosa
Vermiliopsis glandigera
